folder,make,code,category,fuel,displacement,images_saved,caption,post_url
Mazda_R2_2.2L__2,Mazda,R2,Engine,Diesel,2.2L,5,MAZDA R2 2.2L V4 DIESEL ENGINE,https://www.facebook.com/jdmmiamimotors/posts/pfbid0aPnm7rZhnyKWKPwRNT4kAP9LCEHSEF8d4rQxdhkRN2Wb8pKzcZiVgNFHB1A3Zgful
Toyota_1NZ_1.5L__3,Toyota,1NZ,Engine,Petrol,1.5L,5,"Toyota 1NZ(1.5L) & 2NZ(1.3L), V4 GASOLINE ENGINE",https://www.facebook.com/jdmmiamimotors/posts/pfbid0YLyAdMQujCW68JhPspt2ie25zMqAaptxvf9qo6CEtEccvYKQ9Ybbr9fbcwyqRrkfl
Toyota_5L_3.0L__5,Toyota,5L,Engine,Diesel,3.0L,3,TOYOTA 5L 3.0L V4 DIESEL ENGINE,https://www.facebook.com/jdmmiamimotors/posts/pfbid02kuwmwhjHKeunPDJwKkV3JhD9ttuMXJc756vmUZ46MrG1h7piTSEcq8J9A2jPNZSUl
Nissan_QD32-TURBO_3.2L__2,Nissan,QD32-TURBO,Engine,Diesel,3.2L,4,NISSAN QD32-TURBO  3.2L MANUAL PUMP V4 DIESEL ENGINE.,https://www.facebook.com/jdmmiamimotors/posts/pfbid0MM5AELNDHMcWkUNBtngEiqzToEz9yqYtD7Ang61zmBYTM85WnrMbDb3P9nReb4v4l
Toyota_0L_3.0L__2,Toyota,0L,Engine,Diesel,3.0L,4,TOYOTA 1 KZ-TURBO 3.0L V4 DIESEL ENGINE,https://www.facebook.com/jdmmiamimotors/posts/pfbid02UZTPimVkGsm88h9KDayVjkQh4eG61aqhPLPt64V4BjTbRy8ru3WfEzB6s7LPfhEfl
Toyota_1KD_3.0L__6,Toyota,1KD,Engine,Diesel,3.0L,3,TOYOTA 1KD (3.0L ) / 2KD ( 2.5L ) V4 DIESEL ENGINE.,https://www.facebook.com/jdmmiamimotors/posts/pfbid09NiRo1QEYmFaMk6Shqa3J3WL3wSjMNwjgQmML2eNaqvbboYrvvu9hhnRUQPBDyZ9l
UNSORTED__4,,,Engine,,,1,¿BUSCAS PIEZAS DE VEHÍCULOS USADOS DE ALTA CALIDAD...?,https://www.facebook.com/jdmmiamimotors/posts/pfbid0pAzK3k5KmDxeN9rNTtmwqyiHP2wHTX93V9Kc3WKU3hSYe2UEHCqfQLxLgQwYoETzl
UNSORTED__5,,,Engine,,,1,LOOKING FOR TOP QUALITY USED VEHICLE PARTS...?,https://www.facebook.com/jdmmiamimotors/posts/pfbid02RZV1UgZfYSb1jYed2BUobYqjdVasu4QBmybqASgUUc5KNe7okeHJV7oT7WNxXih8l
Nissan_FD35_3.5L__2,Nissan,FD35,Engine,Diesel,3.5L,4,Nissan FD35 (3.5L) InLine-4 Non-Turbo and Turbo Charged Diesel Engine.,https://www.facebook.com/jdmmiamimotors/posts/pfbid0AQZY8qMdTMdTyeuLaQFKRHwEY8vEGBBZ6Btqdp4fTX5ksgdVxooq1mSN7R8PTz9el
Toyota_2L_2.4L,Toyota,2L,Engine,,2.4L,4,TOYOTA  2L NON-Turbo 2.4L ENGINE,https://www.facebook.com/jdmmiamimotors/posts/pfbid02S3LE6N2CH1SD6T1j9WcZGVuX76oebydS5A2urtFV57tP9TrWJc6vpyd25a8Kanfrl
